sample_name,input_bases,mapped_bases,genome_length,average_cov,percent_mapped_bases
VM0L3G6.gd,361226264,209043019,2160842,96.7415,0.578704
VM0L3G7.gd,255973747,239163311,2160842,110.681,0.934327
VM0L3G8.gd,542291830,538102832,2160842,249.025,0.992275
VM0L3G9.gd,534907633,531187748,2160842,245.824,0.993046
VN0L1G0.gd,164866951,106143889,2160842,49.1215,0.643815
VN0L1G10.gd,1013505537,940153234,2160842,435.087,0.927625
VN0L1G11.gd,490328166,479234687,2160842,221.781,0.977375
VN0L1G12.gd,252009595,218388895,2160842,101.067,0.86659
VN0L1G13.gd,234901963,143539286,2160842,66.4275,0.61106
VN0L1G14.gd,1487642112,1453058842,2160842,672.45,0.976753
VN0L1G1.gd,348051580,324845325,2160842,150.333,0.933325
VN0L1G2.gd,530904592,521403618,2160842,241.297,0.982104
VN0L1G3.gd,307096131,300774516,2160842,139.193,0.979415
VN0L1G4.gd,164658350,129383860,2160842,59.8766,0.785772
VN0L1G5.gd,315346200,300109210,2160842,138.885,0.951682
VN0L1G6.gd,303771896,265891840,2160842,123.05,0.875301
VN0L1G8.gd,587409788,449221356,2160842,207.892,0.76475
VN0L1G9.gd,346183432,330942612,2160842,153.154,0.955975
VN0L2G0.gd,221521254,145187374,2160842,67.1902,0.655411
VN0L2G10.gd,988881409,956323751,2160842,442.57,0.967076
VN0L2G11.gd,1296819300,1258867776,2160842,582.582,0.970735
VN0L2G12.gd,90299618,6153598,2160842,2.84778,0.0681464
VN0L2G13.gd,403124577,248529444,2160842,115.015,0.616508
VN0L2G14.gd,396384852,263269729,2160842,121.837,0.664177
VN0L2G1.gd,247918173,215511459,2160842,99.7349,0.869285
VN0L2G2.gd,230372689,164688789,2160842,76.2151,0.71488
VN0L2G3.gd,311551419,284941951,2160842,131.866,0.91459
VN0L2G4.gd,305036086,254312080,2160842,117.691,0.833711
VN0L2G5.gd,332309507,320558585,2160842,148.349,0.964639
VN0L2G6.gd,1798936252,1771680842,2160842,819.903,0.984849
VN0L2G7.gd,267276450,266698412,2160842,123.423,0.997837
VN0L2G8.gd,546736957,528133517,2160842,244.411,0.965974
VN0L2G9.gd,376309319,370222214,2160842,171.332,0.983824
VN0L3G0.gd,186312049,112128369,2160842,51.8911,0.601831
VN0L3G10.gd,1123336224,1082097079,2160842,500.776,0.963289
VN0L3G11.gd,867353984,847344504,2160842,392.136,0.97693
VN0L3G12RPT.gd,1361666130,1322030303,2160842,611.813,0.970892
VN0L3G13.gd,638690385,583248002,2160842,269.917,0.913194
VN0L3G14.gd,533407025,456193618,2160842,211.118,0.855245
VN0L3G1.gd,213232163,165418964,2160842,76.553,0.775769
VN0L3G2.gd,146127605,129417848,2160842,59.8923,0.88565
VN0L3G3.gd,333264865,294910031,2160842,136.479,0.884912
VN0L3G4.gd,412050951,334205558,2160842,154.665,0.811078
VN0L3G5.gd,794449605,740793016,2160842,342.826,0.932461
VN0L3G6.gd,865695729,818775229,2160842,378.915,0.9458
VN0L3G7.gd,265270025,261229786,2160842,120.893,0.984769
VN0L3G8.gd,478668032,276578595,2160842,127.996,0.577809
VN0L3G9.gd,381080083,375463704,2160842,173.758,0.985262
VNdL1G0.gd,264284684,236850805,2160842,109.61,0.896196
VNdL1G10.gd,963666630,942987116,2160842,436.398,0.978541
