gen,MeN0L1,MeN0L2,MeN0L3,MeM0L1,MeM0L2,MeM0L3,MeNdL1,MeNdL2,MeNdL3,PeN0L1,PeN0L2,PeN0L3,PeM0L1,PeM0L2,PeM0L3,PeNdL1,PeNdL2,PeNdL3,RiN0L1,RiN0L2,RiN0L3,RiM0L1,RiM0L2,RiM0L3,RiNdL1,RiNdL2,RiNdL3,VaN0L1,VaN0L2,VaN0L3,VaM0L1,VaM0L2,VaM0L3,VaNdL1,VaNdL2,VaNdL3,CeN0L1,CeN0L2,CeN0L3,CeM0L1,CeM0L2,CeM0L3,CeNdL1,CeNdL2,CeNdL3,LeN0L1,LeN0L2,LeN0L3,LeM0L1,LeM0L2,LeM0L3,LeNdL1,LeNdL2,LeNdL3,LiN0L1,LiN0L2,LiN0L3,LiM0L1,LiM0L2,LiM0L3,LiNdL1,LiNdL2,LiNdL3,CiN0L1,CiN0L2,CiN0L3,CiM0L1,CiM0L2,CiM0L3,CiNdL1,CiNdL2,CiNdL3,AzN0L1,AzN0L2,AzN0L3,AzM0L1,AzM0L2,AzM0L3,AzNdL1,AzNdL2,AzNdL3,ImN0L1,ImN0L2,ImN0L3,ImM0L1,ImM0L2,ImM0L3,ImNdL1,ImNdL2,ImNdL3
12,240000,700,1130000,610000,670000,10600,0,13000,52000,210000,53000,69000,200,460000,50000,62000,50000,1600,1.40E+08,140000,5800000,4700000,3400000,40000,33000,1600000,900000,17000,700,900,410000,2400000,2100,900,900,45000,560000,9000000,7300000,65000,8600000,950000,16000,116000,49000,4.40E+07,4.80E+07,2.60E+07,5700000,2.10E+07,1.90E+07,150000,39000,270000,2100000,2.30E+07,4.20E+07,3200000,1700000,1800000,75000,190000,96000,6.10E+07,3.40E+07,8.70E+07,1.70E+07,4000000,2400000,50000,230000,90000,1.00E+07,6.00E+07,3800000,5800000,650000,970000,420000,90000,100000,5900000,1.40E+07,2.70E+07,1.60E+07,1.40E+07,4000000,29000,47000,50000
13,80000,310000,1400000,230000,27000,4500,1900,42000,4800,24000,160000,110000,0,75000,40000,6300,150000,3700,54000,5.40E+07,1.70E+07,5700000,1.90E+07,240000,540000,1.80E+07,9200000,1200,36000,2200000,6100,200,1100,300,1700,1200,620000,4800000,2100000,3500000,3900000,200000,1900000,520000,150000,2.40E+07,1.50E+07,1.40E+07,490000,3.40E+07,4700000,200000,32000,190000,1.30E+07,2.00E+07,3700000,6600000,7500000,3400000,9400,73000,350000,3.50E+07,2.90E+07,1.20E+07,1.06E+07,2.30E+07,4200000,870000,1000000,1200000,8300000,3.40E+07,2.10E+07,2200000,8700000,1.60E+07,410000,20000,70000,1900000,3.60E+07,7800000,1200000,1.10E+07,1.19E+07,280000,460000,560000
14,80000,5800000,250000,2900000,260000,26000,60000,22000,9000,240000,1.00E+07,1400,4.50E+07,130000,110000,8000,3800,48000,1000000,3.40E+07,3500000,5000000,2.80E+07,240000,1100000,630000,1500000,180000,5300000,27000,39000,41000,20000,1100,300,25000,1.30E+07,2700000,5700000,810000,1700000,1300000,340000,140000,35000,8400000,1.90E+07,1.10E+07,2.20E+07,350000,1200000,1500000,100000,1100000,1.55E+07,1900000,1400000,2600000,1600000,620000,170000,55000,225000,3.10E+07,5.60E+07,4.00E+07,1.30E+07,5400000,1.06E+07,940000,1150000,3400000,5200000,4400000,2.10E+07,7800000,3700000,4700000,390000,730000,650000,1.90E+07,1.70E+07,2.60E+07,2700000,8900000,1.05E+07,160000,370000,140000
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880000,380000,860000,1400000,4000000,1400000,300000,,74000,910000,1.20E+07,2400000,140000,1.40E+07,350000,410000,38000,140000,1300000,5000000,1.30E+07,1100000,330000,1800000,4500,21000,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400000,,,2500000,570000,3200000,190000,150000,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910000,3500000,,,,,,,1.90E+07,1.60E+07,2.50E+07,3600000,500000,2000000,470000,120000,50000,4100000,380000,1400000,1.30E+07,4200000,1800000,5100,4300,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300000,6100000,1800000,1800000,1000000,630000,570000,110000,200000,4700000,5400000,6300000,6200000,6000000,340000,66000,41000,59000,3000000,5000000,1600000,1600000,590000,70000,51000,52000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300000,3700000,430000,1.20E+07,4500000,1.00E+07,730000,360000,100000,4400000,3700000,6000000,4900000,2300000,4300000,180000,110000,20000,3800000,1300000,510000,250000,7200000,3600000,,57000,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300000,3800000,390000,1.10E+07,2100000,4200000,32000,140000,15000,7900000,6000000,7300000,6200000,1800000,2100000,17000,28000,53000,1900000,250000,210000,4400000,1200000,790000,10000,3400,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40E+07,3.30E+07,5300000,1700000,5600000,4400000,240000,290000,190000,1.80E+07,1.00E+07,1.30E+07,1300000,6100000,4900000,14000,110000,35000,1300000,51000,150000,4000000,3500000,2800000,1900,2100,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90E+07,2400000,1200,6100000,2.10E+07,4700000,43000,220000,150000,5300000,1.00E+07,1.00E+07,1.30E+07,5500000,4900000,22000,110000,69000,45000,860000,19000,1400000,4200000,1100000,4900,3800,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,790000,2500000,5100000,7900000,3100000,190000,,2500,1.20E+07,4.90E+07,7000000,5500000,5100000,4500000,30000,35000,34000,2100,290000,38000,630000,1100000,610000,1500,500,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,76000,170000,3000000,3600000,2200000,380000,74000,170000,4100000,2200000,2.30E+07,800000,950000,3500000,12000,7300,14000,67000,45000,47000,65000,81000,21000,2700,1100,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,1100000,2600000,5100000,5700000,510000,61000,360000,56000,6700000,1.90E+07,2500,3800000,3900000,2800000,21000,5000,31000,130000,33000,180000,690000,73000,2900000,19000,4500,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740000,190000,25000,5.70E+07,2200000,5700000,370000,840000,200000,6000000,2.50E+07,1700000,1.40E+07,5300000,1.80E+07,54000,4500,36000,32000,190000,22000,520000,360000,23000,2800,5900,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,560000,70000,2700000,1600000,1400000,81000,740000,50000,2700000,2800000,5600000,1.30E+07,2100000,2.50E+07,6100,22000,3800,180000,900,61000,210000,9100,220000,4600,200,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,6300000,93000,2100000,2000000,1500000,33000,380000,280000,3800000,3700000,1240000,6300000,4400000,1.12E+07,60000,33000,35000,490000,970000,180000,560000,17000,120000,1300,73000,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690000,2400000,510000,6000000,2200000,6500000,28000,123000,56000,7900000,1070000,4600000,7800000,8200000,3.10E+07,38000,34000,21000,270000,290000,350000,2600000,520000,460000,2800,2100,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,
